Gene Symbol,Name,Tier,Somatic,Germline,Tumour Types(Somatic),Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types
A1CF,APOBEC1 complementation factor,2,yes,No,melanoma,E,NA,oncogene,Mis
ABI1,abl-interactor 1,1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,1,yes,No,"CML, ALL, T-ALL",L,Dom,"oncogene, fusion","Translocation, Mis"
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
ACKR3,atypical chemokine receptor 3,1,yes,No,lipoma,M,Dom,"oncogene, fusion",Translocation
ACSL3,acyl-CoA synthetase long-chain family member 3,1,yes,No,prostate,E,Dom,fusion,Translocation
ACSL6,acyl-CoA synthetase long-chain family member 6,2,yes,No,"AML, AEL",L,Dom,fusion,Translocation
ACVR1,"activin A receptor, type I",1,yes,No,DIPG,O,Dom,oncogene,Mis
ACVR2A,activin A receptor type 2A,1,yes,No,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",E,Rec,TSG,"Mis, N, F"
AFF1,"AF4/FMR2 family, member 1",1,yes,No,AL,L,Dom,fusion,Translocation
AFF3,"AF4/FMR2 family, member 3",1,yes,No,"ALL, T-ALL",L,Dom,"oncogene, fusion",Translocation
AFF4,"AF4/FMR2 family, member 4",1,yes,No,ALL,L,Dom,"oncogene, fusion",Translocation
AKAP9,A kinase (PRKA) anchor protein (yotiao) 9,2,yes,No,papillary thyroid,E,Dom,fusion,Translocation
AKT1,v-akt murine thymoma viral oncogene homolog 1,1,yes,No,"breast, colorectal, ovarian, NSCLC",E,Dom,oncogene,Mis
AKT2,v-akt murine thymoma viral oncogene homolog 2,1,yes,No,"ovarian, pancreatic",E,Dom,oncogene,A
AKT3,v-akt murine thymoma viral oncogene homolog 3,2,yes,No,GBM,O,NA,oncogene,A
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),2,yes,No,leiomyoma,M,Dom,fusion,Translocation
ALK,anaplastic lymphoma kinase (Ki-1),1,yes,yes,"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour","L, E, M",Dom,"oncogene, fusion","Translocation, Mis, A"
AMER1,APC membrane recruitment protein 1,1,yes,No,Wilms tumour,O,Rec,TSG,"F, D, N, Mis"
ANK1,ankyrin 1,2,yes,No,CCRCC,E,NA,,Mis
APC,adenomatous polyposis of the colon gene,1,yes,yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","E, M, O",Rec,TSG,"D, Mis, N, F, S"
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,1,No,yes,,E,Rec,"oncogene, TSG",D
AR,Androgen Receptor,1,yes,yes,prostate,E,Dom,oncogene,Mis
ARAF,"A-Raf proto-oncogene, serine/threonine kinase",2,yes,No,"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis","E, L",NA,oncogene,Mis
ARHGAP26,Rho GTPase activating protein 26,1,yes,No,"AML, MDS",L,Dom,"TSG, fusion","Translocation, F, S"
ARHGAP5,Rho GTPase activating protein 5,2,yes,No,"colon cancer, glioma","E, O",NA,oncogene,Mis
ARHGEF10,Rho guanine nucleotide exchange factor 10,2,yes,No,colon cancer,E,NA,TSG,D
ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,2,yes,No,lymphoma,L,NA,TSG,D
ARHGEF12,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
ARID1A,AT rich interactive domain 1A (SWI-like),1,yes,No,"clear cell ovarian carcinoma, RCC, breast",E,Rec,"TSG, fusion","Mis, N, F, S, D, Translocation"
ARID1B,AT rich interactive domain 1B,1,yes,No,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",E,Rec,TSG,"Mis, F, N, O"
ARID2,AT rich interactive domain 2,1,yes,No,hepatocellular carcinoma,E,Rec,TSG,"N, S, F"
ARNT,aryl hydrocarbon receptor nuclear translocator,1,yes,No,AML,L,Dom,"oncogene, TSG, fusion",Translocation
ASPSCR1,"alveolar soft part sarcoma chromosome region, candidate 1",1,yes,No,alveolar soft part sarcoma,M,Dom,fusion,Translocation
ASXL1,additional sex combs like 1,1,yes,No,"MDS, CMML",L,Rec,TSG,"F, N, Mis"
ASXL2,"additional sex combs like 2, transcriptional regulator",2,yes,No,"melanoma, CCRCC, AML","E, L",NA,TSG,"O,N, F"
ATF1,activating transcription factor 1,1,yes,No,"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma","E, M",Dom,"oncogene, fusion",Translocation
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,1,yes,No,ALCL,L,Dom,fusion,Translocation
ATM,ataxia telangiectasia mutated,1,yes,yes,T-PLL,"L, O",Rec,TSG,"D, Mis, N, F, S"
ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",1,yes,No,adrenal aldosterone producing adenoma,E,Dom,"oncogene, TSG","Mis, O"
ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",1,yes,No,adrenal aldosterone producing adenoma,E,Dom,TSG,O
ATR,ATR serine/threonine kinase,1,yes,yes,"endometrial, gastric, epithelial ovarian, myeloma",E; L,Dom,TSG,F; Mis
ATRX,alpha thalassemia/mental retardation syndrome X-linked,1,yes,No,"pancreatic neuroendocrine tumours, paediatric GBM",E,Rec,TSG,"Mis, F, N"
AXIN1,axin 1,1,yes,No,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma","E, O",Rec,TSG,"D, Mis, N, F, S"
AXIN2,axin 2,1,yes,yes,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",E,Rec,TSG,"Mis, F, N"
B2M,beta-2-microglobulin,1,yes,No,"DLBCL, melanoma, colorectal adenocarcinoma","E, L",Rec,TSG,"Mis, N, F"
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),1,yes,yes,"uveal melanoma, breast, NSCLC, RCC",E,Rec,TSG,"N, Mis, F, S, O"
BARD1,BRCA1 associated RING domain 1,1,yes,yes,breast cancer,E,NA,TSG,Mis
BAX,"BCL2 associated X, apoptosis regulator",1,yes,No,colorectal cancer,E,NA,TSG,"F, Mis"
BAZ1A,bromodomain adjacent to zinc finger domain 1A,2,yes,No,"uterine carcinosarcoma, colon cancer",E,NA,TSG,D
BCL10,B-cell CLL/lymphoma 10,1,yes,No,MALT,L,Dom,"TSG, fusion",Translocation
BCL11A,B-cell CLL/lymphoma 11A,1,yes,No,B-CLL,L,Dom,"oncogene, fusion",Translocation
BCL11B,B-cell CLL/lymphoma 11B  (CTIP2),1,yes,No,T-ALL,L,Dom,"oncogene, TSG, fusion",Translocation
BCL2,B-cell CLL/lymphoma 2,1,yes,No,"NHL, CLL",L,Dom,"oncogene, fusion",Translocation
BCL2L12,BCL2 like 12,2,yes,No,"melanoma, SCC",E,NA,oncogene,Mis
BCL3,B-cell CLL/lymphoma 3,1,yes,No,CLL,L,Dom,"oncogene, fusion",Translocation
BCL6,B-cell CLL/lymphoma 6,1,yes,No,"NHL, CLL",L,Dom,"oncogene, fusion","Translocation, Mis"
BCL7A,B-cell CLL/lymphoma 7A,1,yes,No,BNHL,L,Dom,fusion,Translocation
BCL9,B-cell CLL/lymphoma 9,1,yes,No,B-ALL,L,Dom,"oncogene, fusion",Translocation
BCL9L,B-cell CLL/lymphoma 9-like,1,yes,No,"colorectal cancer, endometrial carcinoma, gastric cancer",E,NA,"oncogene, TSG","Mis, F"
BCLAF1,BCL2 associated transcription factor 1,2,yes,No,"melanoma, SCC",E,NA,,Mis
BCOR,BCL6 corepressor,1,yes,No,"retinoblastoma, AML, APL (translocation)","L, M",Rec,"TSG, fusion","F, N, S, Translocation"
BCORL1,BCL6 corepressor-like 1,1,yes,No,"AML, HNSCC","E, L",NA,"oncogene, TSG","Mis, N, F"
BCR,breakpoint cluster region,1,yes,No,"CML, ALL, AML",L,Dom,fusion,Translocation
BIRC3,baculoviral IAP repeat-containing 3,1,yes,No,"CLL, MALT, MCL, MM",L,Dom,"oncogene, TSG, fusion","D, F, N, Translocation, Mis"
BIRC6,baculoviral IAP repeat containing 6,2,yes,No,"melanoma, gastric adenocarcinoma, lung adenocarcinoma",E,NA,"oncogene, fusion","Translocation, Mis"
BLM,Bloom Syndrome,1,No,yes,,"L, E",Rec,TSG,"Mis, N, F"
BMP5,bone morphogenetic protein 5,2,yes,No,melanoma,E,NA,,Mis
BMPR1A,"bone morphogenetic protein receptor, type IA",1,No,yes,,E,Rec,"oncogene, TSG","Mis, N, F"
BRAF,v-raf murine sarcoma viral oncogene homolog B1,1,yes,No,"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric","E, O",Dom,"oncogene, fusion","Mis, Translocation, O"
BRCA1,familial breast/ovarian cancer gene 1,1,yes,yes,ovarian,E,Rec,TSG,"D, Mis, N, F, S"
BRCA2,familial breast/ovarian cancer gene 2,1,yes,yes,"breast, ovarian, pancreatic","L, E",Rec,TSG,"D, Mis, N, F, S"
BRD3,bromodomain containing 3,1,yes,No,lethal midline carcinoma of young people,E,Dom,"oncogene, fusion",Translocation
BRD4,bromodomain containing 4,1,yes,No,lethal midline carcinoma of young people,E,Dom,"oncogene, fusion",Translocation
BRIP1,BRCA1 interacting protein C-terminal helicase 1,1,No,yes,,"L, E",Rec,TSG,"F, N, Mis"
BTG1,"B-cell translocation gene 1, anti-proliferative",1,yes,No,B-CLL,L,Dom,"TSG, fusion",Translocation
BTK,Bruton agammaglobulinemia tyrosine kinase,1,yes,No,"CLL, mantle cell lymphoma, WM",L,Dom,"oncogene, TSG",Mis
BUB1B,BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast),1,No,yes,,M,Rec,TSG,"Mis, N, F, S"
C15orf65,chromosome 15 open reading frame 65,2,yes,No,"PMBL, Hodgkin lymphoma",L,Dom,fusion,Translocation
C2orf44,chromosome 2 open reading frame 44,1,yes,No,colorectal,E,Dom,fusion,Translocation
CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit",1,yes,No,adrenal aldosterone producing adenoma,E,Dom,oncogene,Mis
CALR,calreticulin,1,yes,No,"MPN, MDS",L,Dom,oncogene,"F, Mis"
CAMTA1,calmodulin binding transcription activator 1,1,yes,No,epithelioid haemangioendothelioma,M,Dom,"TSG, fusion",Translocation
CANT1,calcium activated nucleotidase 1,1,yes,No,prostate,E,Dom,fusion,Translocation
CARD11,"caspase recruitment domain family, member 11",1,yes,No,DLBCL,L,Dom,oncogene,Mis
CARS,cysteinyl-tRNA synthetase,1,yes,No,ALCL,L,Dom,"TSG, fusion",Translocation
CASC5,cancer susceptibility candidate 5,1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
CASP3,caspase 3,2,yes,No,ovarian cancer,E,NA,TSG,D
CASP8,"caspase 8, apoptosis-related cysteine peptidase",1,yes,No,"hepatocellular, oral squamous cell, breast",E,Rec,TSG,"N, S, F"
CASP9,caspase 9,2,yes,No,glioma,O,NA,TSG,D
CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)",1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
CBFB,"core-binding factor, beta subunit",1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
CBL,Cas-Br-M (murine) ecotropic retroviral transforming,1,yes,No,"AML, JMML, MDS",L,Dom/Rec,"oncogene, TSG, fusion","Translocation, Mis, S, O"
CBLB,Cas-Br-M (murine) ecotropic retroviral transforming sequence b,1,yes,No,AML,L,Rec,TSG,"Mis, S"
CBLC,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,1,yes,No,AML,L,Rec,"oncogene, TSG",M
CCDC6,coiled-coil domain containing 6,1,yes,No,"papillary thyroid, CML, NSCLC",E,Dom,"TSG, fusion",Translocation
CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",1,yes,No,leiomyoma,M,Dom,"TSG, fusion",Translocation
